sira,score,mahkeme,daire,esas,kararno,tarih,sinyaller,kesit,konu
96,30,Yargıtay,10,2020/7034,3758,2021-03-23,gebe×2 | travma×13 | illiyet×11 | TCK 87/88 | trafik/iş kaz,"…ği düşünüldü ve aşağıdaki karar tespit edildi. I-İSTEM Davacılar vekili dava dilekçesinde özetle, müteveffa sigortalı ...'ın davalı Çamlı Enerji A.Ş. emrinde çalışmaktayken 19/10/2015 tarihinde geçirdiği iş kazası sonucunda yaşamını yitirdiğini, meydana gelen kazada müteveffanın herhangi bir kusurunun bulunmadığını, kazanın işveren davalıların iş güvenliği kurallarına aykırı tutum ve davranışları ve…",YARGITAY KARARI
97,30,Yargıtay,21,2018/1157,474,2019-02-04,gebe×2 | travma×12 | illiyet×17 | TCK 87/88 | trafik/iş kaz,"…olarak değil de sözleşme kuralı olarak uygulanmakla devam eder meğerki bu &quot; Eski Kanundan İktibas edilen sözleşme kuralları&quot;, yeni Kanunun emredici, aksine sözleşme yapılamayacak olan kurallarına aykırı olsun. Bu ihtimalde artık bu kurallar, sözleşme kuralı kılığında ortaya çıksalar dahi, sözleşme kurallarının emredici kuralları bertaraf edemeyeceği genel kuralı gereğince uygulanamazlar ve…",TAZMİNAT DAVASI - SGK MÜFETTİŞİ TARAFINDAN HAZIRLANAN RAPOR İLE MAHKEMECE İTİBAR EDİLEN RAPOR ARASINDAKİ ÇELİŞKİLERİN GİDERİLMESİ GEREKTİĞİ - İLLİYET BAĞININ TIR SÜRÜCÜSÜ EYLEMİ İLE KESİLİP KESİLMEDİĞ
98,29.7,Yargıtay,CG,2018/189,350,2019-04-18,gebe×1 | travma×7 | illiyet×59 | cenin/düşük | trafik/iş kaz,"…özel belge türleri yasa tarafından özel olarak resmî belge düzeyinde korumaya alınmıştır. Bu tür belgeler TCK 210/1. maddede gösterilmiştir. Bunlar; emre veya hamile yazılı kambiyo senedi, tahvil, hisse senedi, emtiayı temsil eden belge, ve vasiyetnamedir. Belirtilen türdeki belgelerin, resmî belge sayılabilmesi için, kanunda öngörülen usul ve şekil şartlarının bulunması zorunludur. TCK 210/2. madde…",YARGITAY KARARI
99,29.6,Danıştay,10,2019/6430,6765,2020-12-22,gebe×80 | travma×7 | illiyet×2 | cenin/düşük | obstetrik komp.,"…eğin intrauterin sıkıntıda olduğunu gösteren bulguların olmadığı, sezaryen ameliyatı gözleminde uterus’da rüptür ve plasenta dekole olarak izlendiği, dekolman plasenta ve uterus rüptürü öngörülemez, önlenemez bir tablo olduğu, uterus rüptürü ve dekolman plasenta intrauterin bebek ölümünün yüksek olduğu dikkate alındığında ilgili sağlık personeline atf-ı kabil kusurun bulunmadığı"" şeklinde değerlendirme ya…",DANIŞTAY KARARI
100,29.6,Yargıtay,12,2019/3783,511,2021-01-21,gebe×10 | travma×5 | illiyet×3 | TCK 87/88 | cenin/düşük,"…klinde bildirilmesi nedeniyle, sanıkların bilinçli taksirle öldürmeden mahkumiyetlerine karar verildiği olayda; &nbsp; Hukuk normları, yasaklayıcı ve emredici normlar olmak üzere, iki şekilde ortaya çıkmaktadır. Sadece icrai bir hareketle ihlal edilebilecek olan ve belirli bir hareketin yapılmasının istenmediği yasaklayıcı normlarda, yasaklanan hareketin yapılması sonucunda bir hak ihlali gerçekleşme…",TAKSİRLE ÖLDÜRME SUÇU - GÖREVİNİ YERİNE GETİRMEYEN KAMU GÖREVLİLERİ HAKKINDA KASTAMONU CUMHURİYET BAŞSAVCILIĞINA SUÇ DUYURUSUNDA BULUNULMASI GEREKTİĞİNİN GÖZETİLMEMESİ - HÜKMÜN BOZULMASI
101,29.6,Anayasa,2,2018/161,,2021-09-14,gebe×168 | travma×3 | illiyet×4 | TCK 87/88 | cenin/düşük,"…tane)müracaat etmiştir. Başvurucunun daha önce iki düşük ve bir dış gebelik (olumsuz obstetrik) öyküsü bulunmaktadır. &nbsp; 9. Başvurucu; prematüre (erken doğum), erken membran ruptürü (suyun gelmesi), transvers duruş (bebeğin yan durması) bulgularıyla aynı gün saat 16.00 civarında hastaneye yatırılmıştır. Başvurucunun yatışının yapıldığı 10/8/2012 tarihinde doğum servisinde düzenlenen belgede aktif su geli…",ANAYASA MAHKEMESİNİN 14/9/2021 TARİHLİ VE 2018/161 SAYILI KARARI (BİREYSEL BAŞVURU) 
102,29.5,A.İ.H.M.,1,1993/22947,,2000-10-10,gebe×1 | travma×23 | illiyet×13 | TCK 87/88 | trafik/iş kaz,"…üstü Hal Bölge Valisinin yetkileri ile ilgili 14 Temmuz 1987 tarihli 285 sayılı Kanun Hükmünde Kararnamenin 4. maddesinin (i) bendi uyarınca, Valinin emri altına bulunan güvenlik kuvvetleri hakkında da uygulanır. 47. Şüpheli silahlı kuvvetler mensubu ise, uygulanacak olan hukuk, suçun niteliğine göre saptanır. Suç, Askeri Ceza Kanunu (No. 1632) kapsamına giren bir ""askeri suç"" ile ilgiliyse, ceza dav…",AKKOÇ - TÜRKİYE DAVASI
103,29.5,A.İ.H.M.,A.İ.H.M.,1994/25803,,1999-07-28,gebe×7 | travma×43 | illiyet×21 | TCK 87/88,"…içeriği 8. 20 Kasım 1991 de polis, Bobigny yerel Ağır Ceza Mahkemesi, soruşturma hakimi, de Larosiere'nin verdiği bilgiler ışığında düzenlediği arama emri üzerine, uyuşturucu madde kaçakçılığı ile ilgili olarak Geray Tarek, Dominique Keledjian ve Bay Keledjian'nın kız arkadaşını yakalamıştır. Dominique Keledjian kendi rızasıyla gönüllü olarak vermiş olduğu ifadede, elindeki eroinleri Amsterdamda ""Gab…",SELMOUNI - FRANSA DAVASI
104,29.3,Yargıtay,2,2023/4814,3579,2023-07-04,gebe×5 | travma×8 | TCK 87/88 | cenin/düşük | aile içi,"…korktuğunu, müvekkilini taş kalpli bir baba olarak suçladığını, hiç yaşanmamış bir olayı sanki yaşanmış gibi kurguladığını, 26.02.2018 günü davalının düşük yaptığını, müvekkilinin o esnada ...'de olduğunu, müvekkilini neredeyse evlat katili olarak suçladığını, kadının bebek kontrollerini ihmal ettiğini düşündüğünü, kadının 02.03.2018 tarihinde annesi ve babası ile gelerek evdeki eşyaları aldığını, ablasını…",YARGITAY KARARI
105,29.3,Uyuşmazlık Mahkemesi,HUKUK,2016/482,617,2016-12-26,gebe×1 | travma×6 | illiyet×6 | TCK 87/88 | cenin/düşük,"…uayene için başvurduklarını, gerek duyulması üzerine ultrason çekimi için radyoloji bölümüne yönlendirildiğini, müvekkili U.'ün o tarihte hamile olup düşük yapmak üzere olduğunu, müvekkili O.'ün davalı kurum çalışanı olan Ç.A.'e muayene olduğu esnada doktorun sert tavırları son derece hassas olan müvekkilinin doktora yavaş olması hususunda kendisini uyarmasına neden olduğunu, doktorun aynı tavırları devam…",MANEVİ TAZMİNAT DAVASI - AĞIR KİŞİSEL KUSURA DAVALI EYLEM SONUCU İDARENİN HİZMET KUSURU VE OLAY ARASINDAKİ İLLİYET BAĞININ KESİLDİĞİ - DAVANIN HAKSIZ FİİLLERE ÖZGÜ ÖZEL HUKUK HÜKÜMLERİ ÇERÇEVESİNDE AD
106,29.1,A.İ.H.M.,A.İ.H.M.,1998/23536,,1999-07-08,gebe×3 | travma×8 | illiyet×4 | TCK 87/88 | cenin/düşük,"…s cezasına çarptırılmasına atıfta bulunmuştur. 23.3 Ekim 1997 tarihinde Devlet Güvenlik Mahkemesi, söz konusu kitabın altıncı baskısının toplatılması emrine ilişkin savcılık istemini kabul etmiştir. 24.Başvuranlar mahkumiyetlerini hapiste geçirmiş ve para cezalarını ödemiştir. 27 Ekim 1995 tarih ve 4126 Sayılı Kanun ile 1991 Yasasının değiştirilmesinden sonra, İstanbul Devlet Güvenlik Mahkemesi ikinc…",BAŞKAYA VE OKÇUOĞLU - TÜRKİYE DAVASI
107,29,A.İ.H.M.,A.İ.H.M.,1996/33097,,2004-06-03,gebe×21 | travma×11 | TCK 87/88 | cenin/düşük,…ş ve doktor başvuranın daha önce 20 Şubat 1996 tarihinde muayene edildiği yönünde İstanbul Asliye Hukuk Mahkemesine bilgi vermiştir. Ancak başvuranın düşük yaptığı iddiası üzerine ayrı tedavi önerilmiştir. Son olarak yedi jinekolog doktordan oluşan heyet başvurana ilişkin düzenlenen sağlık dosyasını incelemiş ve 19 Şubat 1997 tarihli raporunda Öktem'in göz altı sırasında düşük yaptığım ancak vücudunda hiçb…,BATI VE DİĞERLERİ - TÜRKİYE DAVASI
108,29,A.İ.H.M.,4,2011/15018,,2014-07-08,gebe×10 | travma×19 | TCK 87/88 | cenin/düşük,"…malarını öngörmüştü. 115. Madde 127b(1), mahkemenin bir müebbet hapis cezası uygularken, mahkumun en katı rejime, yani ""özel rejime"" tabi tutulmasını emretmesi gerektiğini öngörmüştür. Sabit süreli hapis cezalarına uygulanan diğer mevcut cezaevi rejimleri, ""hafif"", ""genel"", ""katı"" ve ""yoğunlaştırılmış"" rejimlerdir (madde 43(1)); müebbet hapis cezasının aksine, hükmü veren mahkeme bunlardan hangisinin…",HARAKCHIEV VE TOLUMOV - BULGARİSTAN DAVASI
109,29,Anayasa,1,2013/2758,,2016-02-17,gebe×24 | travma×6 | illiyet×2 | TCK 87/88 | cenin/düşük,"…göre verilmiş halam karan olmadıkça; yine bu sebeplere bağlı olarak gecikmesinde sakınca bulunan hallerde de kanunla yetkili kılınmış merciin yazılı emri bulunmadıkça; kimsenin üstü, özel kağıtları ve eşyası aranamaz ve bunlara el konulamaz. Yetkili merciin kararı yirmidört saat içinde görevli hakimin onayına sunulur. Hakim, kararını el koymadan itibaren kırksekiz saat içinde açıklar; aksi halde, el…",ANAYASA MAHKEMESİNİN 17/2/2016 TARİHLİ VE 2013/2758 SAYILI KARARI (BİREYSEL BAŞVURU)
110,29,Yargıtay,HG,2023/802,335,2025-05-21,gebe×4 | travma×3 | illiyet×6 | TCK 87/88 | cenin/düşük,"…ili şirket aleyhine icra takibi başlattığını, takip talebinde müvekkili şirketin Lüksemburg adresi yerine İstanbul’da bir adres gösterildiğini, ödeme emrinin ... tarafından atanan yönetim kurulu üyesine tebliğ edildiğini, anılan kişinin BDL’nin atadığı yöneticilere icra takibine ilişkin bilgi vermeden önce icra takibini kesinleştirdiğini, böylelikle davalı ...Ş’deki müvekkili hisselerinin satışa çıka…",YARGITAY KARARI
111,28.8,Yargıtay,21,2019/2155,6809,2019-11-12,gebe×2 | travma×18 | illiyet×9 | TCK 87/88 | trafik/iş kaz,"…anun kuralı olarak değil de sözleşme kuralı olarak uygulanmaka devam eder meğerki bu "" Eski Kanundan İktibas edilen sözleşme kuralları"", yeni Kanunun emredici, aksine sözleşme yapılamayacak olan kurallarına aykırı olsun. Bu ihtimalde artık bu kurallar, sözleşme kuralı kılığında ortaya çıksalar dahi, sözleşme kurallarının emredici kuralları bertaraf edemeyeceği genel kuralı gereğince uygulanamazlar ve…",YARGITAY KARARI
112,28.8,Yargıtay,10,2021/2473,3763,2021-03-23,gebe×2 | travma×16 | illiyet×9 | TCK 87/88 | trafik/iş kaz,"…unması ve mükerrer ödemeyi önleme ilkesine dayandığından, kamu düzenine ilişkin olarak kabul edilmiştir. Kaldı ki, 6098 sayılı Kanunun 55. maddesi de emredici bir hükme yer verdiğinden gerçekleştiği tarihe bakılmaksızın tüm fiil ve işlemlere uygulanmalıdır. Dosya kapsamındaki bilgi ve belgelerden; davacının sürekli iş göremezlik oranının SGK sağlık kurulu ve Yüksek Sağlık Kurulu tarafından %49,2 olar…",YARGITAY KARARI
113,28.8,Yargıtay,3,2023/4099,2890,2024-10-08,gebe×31 | travma×3 | illiyet×13 | cenin/düşük,"…dığını savunarak, davanın reddini istemiştir. 2. Davalı MLP Sağlık Hizmetleri A.Ş. vekili; davacı ...'in 15.09.2011 tarihinde 36 haftalık hamile iken erken doğum şüphesi ile ilk olarak Banaz Devlet Hastanesi olmak üzere 3 adet hastane gezdiğini, hastanelerde doğacak bebek için küvez olmadığı gerekçesiyle son olarak davalı hastaneye geldiklerini ve acil olarak tedavi altına alındıklarını, anne karnındaki bebe…",YARGITAY KARARI
114,28.8,Yargıtay,21,2018/5315,6513,2019-11-05,gebe×2 | travma×19 | illiyet×9 | TCK 87/88 | trafik/iş kaz,"…anun kuralı olarak değil de sözleşme kuralı olarak uygulanmaka devam eder meğerki bu "" Eski Kanundan İktibas edilen sözleşme kuralları"", yeni Kanunun emredici, aksine sözleşme yapılamayacak olan kurallarına aykırı olsun. Bu ihtimalde artık bu kurallar, sözleşme kuralı kılığında ortaya çıksalar dahi, sözleşme kurallarının emredici kuralları bertaraf edemeyeceği genel kuralı gereğince uygulanamazlar ve…",YARGITAY KARARI
115,28.6,A.İ.H.M.,2,2003/3598,,2013-04-16,gebe×2 | travma×8 | illiyet×4 | TCK 87/88 | cenin/düşük,"…pki gösteren ve olayların yaşandığı tarihte hamile olan başvuranlardan iki tanesi Emine Çelik ve Zübeyda Uysal da dövülmüş ve her ikisi de daha sonra düşük yapmıştır. Buna ek olarak ana meydanda toplanma emrine uymayan Kerem İnan jandarma astsubay F.A. tarafından öldürülmüştür. 8. Güvenlik güçleri mezradaki evleri ateşe vermiştir. Ardından Cemal Sevli, Reşit Sevli, Aşur Seçkin, Salih Şengül, Yusuf Çelik, N…",MERYEM ÇELİK VE DİĞERLERİ V. - TÜRKİYE DAVASI
116,28.6,Yargıtay,11,2022/3489,5811,2023-10-12,gebe×71 | travma×6 | illiyet×15 | TCK 87/88,"…Kanunu&#39;nun 26. maddesi tarafların bir sözleşmenin içeriğini kanunda öngörülen sınırlar içinde özgürce belirleyebileceğini 27. maddesi ise kanunun emredici hükümlerine, ahlaka, kamu düzenine, kişilik haklarına aykırı olan sözleşmelerin kesin olarak hükümsüz olacağını vazetmiştir. &nbsp; Keza Türk Ceza Kanunu&#39;nun 99. maddesi rızası olmaksızın bir kadının çocuğunu düşürten kişinin cezalandırılac…",TAZMİNAT DAVASI - DAVACIYA DOWN SENDROMU KONUSUNDA SÖZLÜ OLARAK BİLGİLENDİRME YAPILDIĞINA İLİŞKİN KAYITLARIN AKSİNİN DAVACI TARAFINDAN İSPATLANAMADIĞI GÖZETİLEREK BİR HÜKÜM KURULMASI GEREKTİĞİ - HÜKMÜ
117,28.6,Anayasa,1,2015/1517,,2018-12-25,gebe×2 | travma×26 | illiyet×3 | TCK 87/88 | cenin/düşük,"…rev yapan isminin [C.] olduğunu bildiğim uzman işkence yapmıştır. Biz işkence gördüğümüz sırada orada bulunan Askerler bize [C.] isimli uzman çavuşun emrettiğini, bu nedenle işkence yapıldığını söylemişlerdi. Ovakışla Jandarma Karakolunda benim hatırladığım kadarıyla bizi 4 Nisan 1994 tarihinde göz altına aldıklarından önce Ovakışla Jandarma Karakoluna getirdiler, burada Ovakışla Jandarma karakolunda…",ANAYASA MAHKEMESİNİN 25/12/2018 TARİHLİ VE 2015/1517 SAYILI KARARI (BİREYSEL BAŞVURU)
118,28.6,Yargıtay,4,2021/23044,2707,2023-03-01,gebe×2 | travma×8 | illiyet×4 | TCK 87/88 | cenin/düşük,"…ere ulaşması ile tamiri mümkün olmayan ağır hasarlar meydana geleceği aşikardır. 5271 sayılı Kanun'un 157. maddesinde \""Soruşturmalar gizli yapılır\"" emredici hükmü ile Yakalama, Gözaltına Alma ve İfade alma Yönetmeliği'nin 27. maddesinde öngörülen \""Suçluluğu bir yargı hükmüne bağlanana kadar kişinin masumiyeti esastır ve hazırlık soruşturması gizlidir. Bu nedenle soruşturma safhasında gözaltındaki…",YARGITAY KARARI
119,28.5,Yargıtay,4,2021/23038,2706,2023-03-01,gebe×3 | travma×5 | illiyet×5 | TCK 87/88 | cenin/düşük,"…ere ulaşması ile tamiri mümkün olmayan ağır hasarlar meydana geleceği aşikardır. 5271 sayılı Kanun'un 157. maddesinde \""Soruşturmalar gizli yapılır\"" emredici hükmü ile Yakalama, Gözaltına Alma ve İfade alma Yönetmeliği'nin 27. maddesinde öngörülen \""Suçluluğu bir yargı hükmüne bağlanana kadar kişinin masumiyeti esastır ve hazırlık soruşturması gizlidir. Bu nedenle soruşturma safhasında gözaltındaki…",YARGITAY KARARI
120,28.5,Yargıtay,4,2021/24248,2708,2023-03-01,gebe×3 | travma×5 | illiyet×5 | TCK 87/88 | cenin/düşük,"…ere ulaşması ile tamiri mümkün olmayan ağır hasarlar meydana geleceği aşikardır. 5271 sayılı Kanun'un 157. maddesinde \""Soruşturmalar gizli yapılır\"" emredici hükmü ile Yakalama, Gözaltına Alma ve İfade alma Yönetmeliği'nin 27. maddesinde öngörülen \""Suçluluğu bir yargı hükmüne bağlanana kadar kişinin masumiyeti esastır ve hazırlık soruşturması gizlidir. Bu nedenle soruşturma safhasında gözaltındaki…",YARGITAY KARARI
121,28.4,Danıştay,10,2021/3640,6591,2024-12-18,gebe×25 | travma×1 | illiyet×4 | cenin/düşük | obstetrik komp.,"…lunun ... tarih ve ... sayılı raporunda, zamanında otopsi yapılarak iç organ değişimleri araştırılmamış olmakla birlikte tıbbi belgelere göre bebeğin intrauterin ölümünün preeklampsi ve plasenta dekolmanına bağlı intrauterin anoksi sonucu meydana geldiği, annede tespit edilen ağır preeklampsi hastalığının anne ve bebek hayatını tehdit edici bir durum olduğu, ancak 26. gebelik haftasında annenin durumu kötüleşmed…",DANIŞTAY KARARI
122,28.4,Yargıtay,4,2021/21149,2424,2023-02-23,gebe×4 | travma×4 | illiyet×5 | TCK 87/88 | cenin/düşük,"…ere ulaşması ile tamiri mümkün olmayan ağır hasarlar meydana geleceği aşikardır. 5271 sayılı Kanun'un 157. maddesinde \""Soruşturmalar gizli yapılır\"" emredici hükmü ile Yakalama, Gözaltına Alma ve İfade alma Yönetmeliği'nin 27. maddesinde öngörülen \""Suçluluğu bir yargı hükmüne bağlanana kadar kişinin masumiyeti esastır ve hazırlık soruşturması gizlidir. Bu nedenle soruşturma safhasında gözaltındaki…",YARGITAY KARARI
123,28.2,Yargıtay,HG,2016/1904,1037,2019-10-10,gebe×6 | travma×30 | illiyet×1 | TCK 87/88 | cenin/düşük,"…i, tarafların hakları ve borçları yanında asıl ve ağırlıklı olarak iş sözleşmelerine uygulanacak (normatif) hükümleri içermektedir. Normatif hükümler emredici kanun hükmü gibi kapsamına aldığı iş sözleşmelerine uygulanırlar. Buradan çıkan sonuç ise, iş sözleşmelerinin toplu iş sözleşmesine aykırı olamayacağıdır. İş sözleşmesindeki toplu iş sözleşmesine aykırı hükümlerin yerini toplu iş sözleşmesi hük…",YARGITAY KARARI
124,28.2,Yargıtay,HG,2016/1534,1026,2019-10-10,gebe×6 | travma×30 | illiyet×1 | TCK 87/88 | cenin/düşük,"…i, tarafların hakları ve borçları yanında asıl ve ağırlıklı olarak iş sözleşmelerine uygulanacak (normatif) hükümleri içermektedir. Normatif hükümler emredici kanun hükmü gibi kapsamına aldığı iş sözleşmelerine uygulanırlar. Buradan çıkan sonuç ise, iş sözleşmelerinin toplu iş sözleşmesine aykırı olamayacağıdır. İş sözleşmesindeki toplu iş sözleşmesine aykırı hükümlerin yerini toplu iş sözleşmesi hük…",YARGITAY KARARI
125,28.2,Yargıtay,HG,2016/2147,1029,2019-10-10,gebe×6 | travma×30 | illiyet×1 | TCK 87/88 | cenin/düşük,"…i, tarafların hakları ve borçları yanında asıl ve ağırlıklı olarak iş sözleşmelerine uygulanacak (normatif) hükümleri içermektedir. Normatif hükümler emredici kanun hükmü gibi kapsamına aldığı iş sözleşmelerine uygulanırlar. Buradan çıkan sonuç ise, iş sözleşmelerinin toplu iş sözleşmesine aykırı olamayacağıdır. İş sözleşmesindeki toplu iş sözleşmesine aykırı hükümlerin yerini toplu iş sözleşmesi hük…",YARGITAY KARARI
126,28.2,Yargıtay,HG,2016/1902,1035,2019-10-10,gebe×6 | travma×30 | illiyet×1 | TCK 87/88 | cenin/düşük,"…i, tarafların hakları ve borçları yanında asıl ve ağırlıklı olarak iş sözleşmelerine uygulanacak (normatif) hükümleri içermektedir. Normatif hükümler emredici kanun hükmü gibi kapsamına aldığı iş sözleşmelerine uygulanırlar. Buradan çıkan sonuç ise, iş sözleşmelerinin toplu iş sözleşmesine aykırı olamayacağıdır. İş sözleşmesindeki toplu iş sözleşmesine aykırı hükümlerin yerini toplu iş sözleşmesi hük…",YARGITAY KARARI
127,28.2,Yargıtay,HG,2016/2398,1030,2019-10-10,gebe×6 | travma×30 | illiyet×1 | TCK 87/88 | cenin/düşük,"…i, tarafların hakları ve borçları yanında asıl ve ağırlıklı olarak iş sözleşmelerine uygulanacak (normatif) hükümleri içermektedir. Normatif hükümler emredici kanun hükmü gibi kapsamına aldığı iş sözleşmelerine uygulanırlar. Buradan çıkan sonuç ise, iş sözleşmelerinin toplu iş sözleşmesine aykırı olamayacağıdır. İş sözleşmesindeki toplu iş sözleşmesine aykırı hükümlerin yerini toplu iş sözleşmesi hük…",YARGITAY KARARI
128,28.2,Yargıtay,HG,2016/1901,1034,2019-10-10,gebe×6 | travma×30 | illiyet×1 | TCK 87/88 | cenin/düşük,"…i, tarafların hakları ve borçları yanında asıl ve ağırlıklı olarak iş sözleşmelerine uygulanacak (normatif) hükümleri içermektedir. Normatif hükümler emredici kanun hükmü gibi kapsamına aldığı iş sözleşmelerine uygulanırlar. Buradan çıkan sonuç ise, iş sözleşmelerinin toplu iş sözleşmesine aykırı olamayacağıdır. İş sözleşmesindeki toplu iş sözleşmesine aykırı hükümlerin yerini toplu iş sözleşmesi hük…",YARGITAY KARARI
129,28.2,Yargıtay,HG,2016/1903,1036,2019-10-10,gebe×6 | travma×30 | illiyet×1 | TCK 87/88 | cenin/düşük,"…i, tarafların hakları ve borçları yanında asıl ve ağırlıklı olarak iş sözleşmelerine uygulanacak (normatif) hükümleri içermektedir. Normatif hükümler emredici kanun hükmü gibi kapsamına aldığı iş sözleşmelerine uygulanırlar. Buradan çıkan sonuç ise, iş sözleşmelerinin toplu iş sözleşmesine aykırı olamayacağıdır. İş sözleşmesindeki toplu iş sözleşmesine aykırı hükümlerin yerini toplu iş sözleşmesi hük…",YARGITAY KARARI
130,28.2,Danıştay,10,2021/5326,1519,2025-03-11,gebe×30 | travma×2 | illiyet×27 | cenin/düşük,"…kanama nedeniyle muayene için gittiği Adana Kadın Doğum ve Çocuk Hastalıkları Hastanesinde küretaj işleminin doğru yapılmadığı ve bu sebeple küçüğün erken doğumuna sebep olunduğu, küçükte göğüs kafesindeki kemiklerde olağan dışı büyüme ve eğrilik olduğundan bahisle uğranıldığı ileri sürülen zarara karşılık 1.000,00 TL maddi ile 250.000,00 TL manevi tazminatın idareye başvuru tarihinden itibaren işleyecek ya…",DANIŞTAY KARARI
131,28.2,Yargıtay,HG,2017/239,1038,2019-10-10,gebe×6 | travma×30 | illiyet×1 | TCK 87/88 | cenin/düşük,"…i, tarafların hakları ve borçları yanında asıl ve ağırlıklı olarak iş sözleşmelerine uygulanacak (normatif) hükümleri içermektedir. Normatif hükümler emredici kanun hükmü gibi kapsamına aldığı iş sözleşmelerine uygulanırlar. Buradan çıkan sonuç ise, iş sözleşmelerinin toplu iş sözleşmesine aykırı olamayacağıdır. İş sözleşmesindeki toplu iş sözleşmesine aykırı hükümlerin yerini toplu iş sözleşmesi hük…",YARGITAY KARARI
132,28.2,Yargıtay,HG,2016/2762,1033,2019-10-10,gebe×6 | travma×30 | illiyet×1 | TCK 87/88 | cenin/düşük,"…i, tarafların hakları ve borçları yanında asıl ve ağırlıklı olarak iş sözleşmelerine uygulanacak (normatif) hükümleri içermektedir. Normatif hükümler emredici kanun hükmü gibi kapsamına aldığı iş sözleşmelerine uygulanırlar. Buradan çıkan sonuç ise, iş sözleşmelerinin toplu iş sözleşmesine aykırı olamayacağıdır. İş sözleşmesindeki toplu iş sözleşmesine aykırı hükümlerin yerini toplu iş sözleşmesi hük…",YARGITAY KARARI
133,28.2,Yargıtay,HG,2016/1538,1028,2019-10-10,gebe×6 | travma×30 | illiyet×1 | TCK 87/88 | cenin/düşük,"…i, tarafların hakları ve borçları yanında asıl ve ağırlıklı olarak iş sözleşmelerine uygulanacak (normatif) hükümleri içermektedir. Normatif hükümler emredici kanun hükmü gibi kapsamına aldığı iş sözleşmelerine uygulanırlar. Buradan çıkan sonuç ise, iş sözleşmelerinin toplu iş sözleşmesine aykırı olamayacağıdır. İş sözleşmesindeki toplu iş sözleşmesine aykırı hükümlerin yerini toplu iş sözleşmesi hük…",YARGITAY KARARI
134,28.2,Yargıtay,HG,2016/2400,1032,2019-10-10,gebe×6 | travma×30 | illiyet×1 | TCK 87/88 | cenin/düşük,"…i, tarafların hakları ve borçları yanında asıl ve ağırlıklı olarak iş sözleşmelerine uygulanacak (normatif) hükümleri içermektedir. Normatif hükümler emredici kanun hükmü gibi kapsamına aldığı iş sözleşmelerine uygulanırlar. Buradan çıkan sonuç ise, iş sözleşmelerinin toplu iş sözleşmesine aykırı olamayacağıdır. İş sözleşmesindeki toplu iş sözleşmesine aykırı hükümlerin yerini toplu iş sözleşmesi hük…",YARGITAY KARARI
135,28.2,Yargıtay,HG,2016/1537,1027,2019-10-10,gebe×6 | travma×30 | illiyet×1 | TCK 87/88 | cenin/düşük,"…i, tarafların hakları ve borçları yanında asıl ve ağırlıklı olarak iş sözleşmelerine uygulanacak (normatif) hükümleri içermektedir. Normatif hükümler emredici kanun hükmü gibi kapsamına aldığı iş sözleşmelerine uygulanırlar. Buradan çıkan sonuç ise, iş sözleşmelerinin toplu iş sözleşmesine aykırı olamayacağıdır. İş sözleşmesindeki toplu iş sözleşmesine aykırı hükümlerin yerini toplu iş sözleşmesi hük…",YARGITAY KARARI
136,28.2,Yargıtay,HG,2016/2399,1031,2019-10-10,gebe×6 | travma×30 | illiyet×1 | TCK 87/88 | cenin/düşük,"…i, tarafların hakları ve borçları yanında asıl ve ağırlıklı olarak iş sözleşmelerine uygulanacak (normatif) hükümleri içermektedir. Normatif hükümler emredici kanun hükmü gibi kapsamına aldığı iş sözleşmelerine uygulanırlar. Buradan çıkan sonuç ise, iş sözleşmelerinin toplu iş sözleşmesine aykırı olamayacağıdır. İş sözleşmesindeki toplu iş sözleşmesine aykırı hükümlerin yerini toplu iş sözleşmesi hük…",YARGITAY KARARI
137,28.1,Anayasa,1,2018/36427,,2021-10-06,gebe×1 | travma×28 | illiyet×3 | TCK 87/88 | cenin/düşük,"…&sect;&sect; 50-54; Ferit Çelik, B. No: 2012/1220, 10/12/2014, &sect;&sect; 51, 52; Hikmet Yayğın, B. No: 2013/1279, 30/12/2014, &sect;&sect; 29-36; Emrah Oğuz, B. No: 2013/1755, 25/3/2015, &sect;&sect; 43-54; Ulaş Kaya ve Adnan Ataman, B. No: 2013/4128, 18/11/2015, &sect;&sect; 53-73; sulh ceza hâkimliklerinin yapısına ilişkin iddialar için bkz. Hikmet Kopar ve diğerleri [GK], B. No: 2014/14061, 8/…",ANAYASA MAHKEMESİNİN 6/10/2021 TARİHLİ VE 2018/36427 SAYILI KARARI (BİREYSEL BAŞVURU) 
138,28.1,Yargıtay,21,2019/2513,7438,2019-12-03,gebe×3 | travma×20 | illiyet×8 | TCK 87/88 | trafik/iş kaz,"…anun kuralı olarak değil de sözleşme kuralı olarak uygulanmaka devam eder meğerki bu "" Eski Kanundan İktibas edilen sözleşme kuralları"", yeni Kanunun emredici, aksine sözleşme yapılamayacak olan kurallarına aykırı olsun. Bu ihtimalde artık bu kurallar, sözleşme kuralı kılığında ortaya çıksalar dahi, sözleşme kurallarının emredici kuralları bertaraf edemeyeceği genel kuralı gereğince uygulanamazlar ve…",YARGITAY KARARI
